id,x0,y0,StartNode,StartTime,xf,yf,FinalNode
29771,365102.62,3713653.39,1945,289,365430.89,3713330.62,1785
29772,365105.24,3713688.96,1302,777,365122.39,3714074.92,114
29773,365289.73,3713626.89,1936,1098,365430.89,3713330.62,1785
29774,365157.76,3713620.96,1303,862,365430.89,3713330.62,1785
29775,365045.31,3713653.22,1950,1087,365430.89,3713330.62,1785
29776,365289.73,3713626.89,1936,660,365430.89,3713330.62,1785
29777,365191.97,3713731.48,1971,707,365122.39,3714074.92,114
29778,365102.62,3713653.39,1945,474,365430.89,3713330.62,1785
29779,365102.62,3713653.39,1945,532,364889.65,3713661.16,1318
29781,365358.96,3713596.87,1296,186,365430.89,3713330.62,1785
29782,365353.99,3713525.87,1869,240,365430.89,3713330.62,1785
29783,365289.73,3713626.89,1936,1205,365122.39,3714074.92,114
29784,365223.17,3713690.62,1963,573,365122.39,3714074.92,114
29785,365115.14,3713723.92,1972,638,365122.39,3714074.92,114
29788,365316.32,3713704.48,1969,487,365122.39,3714074.92,114
29789,365102.62,3713653.39,1945,215,364889.65,3713661.16,1318
29791,365353.99,3713525.87,1869,690,365430.89,3713330.62,1785
29792,365045.31,3713653.22,1950,1253,364889.65,3713661.16,1318
29794,365316.32,3713704.48,1969,662,365122.39,3714074.92,114
29795,365223.17,3713690.62,1963,321,365430.89,3713330.62,1785
29796,365289.73,3713626.89,1936,1058,365122.39,3714074.92,114
29797,365102.62,3713653.39,1945,1009,365430.89,3713330.62,1785
29798,365223.17,3713690.62,1963,849,365122.39,3714074.92,114
29799,365102.62,3713653.39,1945,1231,365430.89,3713330.62,1785
29800,365115.14,3713723.92,1972,1108,365430.89,3713330.62,1785
29802,365340.88,3713570.07,1298,1110,365430.89,3713330.62,1785
29804,365191.97,3713731.48,1971,1294,365122.39,3714074.92,114
29805,365045.31,3713653.22,1950,464,364889.65,3713661.16,1318
29807,365105.24,3713688.96,1302,684,365430.89,3713330.62,1785
29808,365115.14,3713723.92,1972,527,365122.39,3714074.92,114
29809,365157.76,3713620.96,1303,339,365430.89,3713330.62,1785
29810,365358.96,3713596.87,1296,654,365430.89,3713330.62,1785
